WORD,MEANING,SIMILAR OR RELATED WORDS,
abash,Feeling embarrassed,"Abash 
Chagrin 
Disconcert
",
aberrant,Abnormal,"Aberrant 
Anomalous 
Anomaly 
Atypical 
Erratic
",
abet,Supporting in something wrong,"Abet
Accomplice 
Connive 
Collusion
",
abeyance,Temporary Inactivity or pause,"Abeyance
Dormant  
Hiatus
Hibernation
Latent 
Lull 
Quiescent
Recess
Suspension
",
abolish,Put an end to something,"Abolish 
Abrogate 
Annul 
Countermand 
Repeal 
Revoke 
Terminate
",
abysmal,Extremely bad,"Abysmal 
Dismal

",
acclivity,Slope,"Acclivity 
Declivity
",
accretion,Growth,"Accretion 
Accrue 
Aggrandize 
Aggregation
Amalgamate
Amassment 
Augmentation
",
acrid,Bitter words or taste,"Acerbic 
Acidulous 
Acrid 
Acrimonious 
Astringent  
Vitriolic
",
adage,Wise sayings,"Adage 
Aphorism 
Apothegm 
Proverb 
Truism 
Axiom 
Dictum 
Epigram 
Maxim 
Postulate
",
adroit,Skillful,"Adept
Adroit
Ambidextrous
Artisan
Consummate
Deft
Dexterous
Finesse
Sleight
virtuoso
Ept
",
adulterate,Pollute,Adulterate,
affable,Friendly,"Affable
Amiable
Amicable
Comely
Congenial
Geniality",
affliction,Pain and suffering,"affliction
agony
anguish
ordeal
plight
throes
trial
tribulation
",
alias,Other name,"alias
anonymity
anonymous
misnomer
pseudonym
",
alluring,Attract someone or something,"alluring
bewitching
charming
engaging
enthralling
entice
mesmerizing
personable
winsome
",
altercation,Fights and arguments,"altercation 
bicker 
brawl
broil
dissension
fracas fray
haggle
melee
skirmish 
spat
squabble
",
ambiguous,Misleading meanings,"ambiguous
circumlocution
elliptical
equivocal

",
ameliorate,Improve,"ameliorate
salutary
wholesome

",
amulet,Magical charms,"amulet
charm
mascot
talisman

",
anachronism,Time,"anachronism
diurnal
juncture

",
anarchy,Rules and Government,"anarchy 
aristocracy
autocratic
bureaucracy
gerontocracy
interregnum
matriarchy
monarchy
ochlocracy
oligarchy
patriarchy
plutocracy
theocracy
",
animated,Full of life,"alacrity
animated
frisky
skittish
sprightly
vivacious
vivid

",
animadversion,Critical Remark,"Animadversion/ stricture

",
annoy,To annoy someone,"badger
bait
chafe
exasperate
fester
fret
gadfly
gall irk
nettle
rankle
repine
rile
vex
",
antithetical,Opposite of someone or something,"antithetical 
polar

",
apathetic,Not showing feelings,"callous 
apathetic 
deadpan
impassive
indifferent
insouciant
inured
nonchalant 
pachyderm
stoic 
stolid
",
apocryphal,Questionable things,"apocryphal
bogus
factitious
shoddy
spurious

",
appall,Shocking or surprising,"agape
aghast
appalled
consternation
dazzled
dumbfounded
flabbergasted
petrified
stunned
stupefied
stupor

",
apparition,Ghosts and spirits,"apparition
specter 
vampire
wraith

",
arbitrate,Act as judge ( at the request of both sides ),arbitrate,
archetype,Original,"archetype 
prototype
",
ardor,Passion,"ardor 
fervor 
gusto 
zeal 
zest
",
armada,Fleet of warships;a large group of moving things,armada,
Askew,Distorted,"Askew 
Awry 
contorted 
convoluted 
gnarled
",
assail,Attack,"assail 
belabor 
beleaguer 
onslaught

",
assent,Agree,"accede
acquiesce
assent
concede
concord
concur
conformity
congruent
consensus
consonance
covenant
jibe
treaty
unanimity
unison


",
